"","UCM_Number","Canister","Class","Order","Family","Subfamily","Genus","Species","Element","Notes","Museum_Number","name"
"359","NSF-16-46","B2/L2","Mammalia","Rodentia","Cricetidae","Neotominae","Reithrodontomys","cf. megalotis","upper left M1","","LACMP23-28135","Reithrodontomys megalotis"
"360","NSF-16-47","B2/L2","Mammalia","Rodentia","Cricetidae","Neotominae","cf. Reithrodontomys","","lower (right?) m2","heavily worn","LACMP23-28136","Reithrodontomys"
"361","NSF-16-48","B2/L2","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper left P4","","LACMP23-28137","Otospermophilus beecheyi"
"362","NSF-16-49","B2/L2","Mammalia","Rodentia","Heteromyidae","","Dipodomys","sp.","upper left M1/M2","","LACMP23-28138","Dipodomys"
"363","NSF-16-50","B2/L2","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","","partial molar","","LACMP23-28139","Microtus"
"364","NSF-16-51","B2/L2","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","","partial molar","","LACMP23-28140","Microtus"
"365","NSF-16-52","B2/L2","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","","partial molar","","LACMP23-28141","Microtus"
"366","NSF-16-53","B2/L2","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","partial lower right molar","anterior broken","LACMP23-28142","Microtus"
"367","NSF-16-54","B2/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","","upper right tooth","","LACMP23-28143","Sylvilagus"
"368","NSF-16-55","B2/L2","Mammalia","Lagomorpha","Leporidae","","cf. Sylvilagus","","upper tooth frag","","LACMP23-28144","Sylvilagus"
"369","NSF-16-56","B2/L2","Mammalia","Lagomorpha","Leporidae","","","","tooth frag","","LACMP23-28145",NA
"370","NSF-16-57","B2/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper P2","","LACMP23-28146","Sylvilagus"
"371","NSF-16-57","B2/L2","Mammalia","Lagomorpha/Rodentia","","","","","Misc. rodent/lagomorph partial teeth, incisors, and dentary frags","","Not Cataloged",NA
"372","NSF-16-114","B2/L3","Mammalia","Carnivora","Canidae","","Canis","cf. dirus","upper right I2","","LACMP23-28347","Canis dirus"
"373","NSF-16-115","B2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower right m1","","LACMP23-28225","Microtus"
"374","NSF-16-116","B2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower left m1","occlusal surface broken","LACMP23-28226","Microtus"
"375","NSF-16-117","B2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","","left anterior dentary frag","","LACMP23-28227","Microtus"
"376","NSF-16-118a","B2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv. Upper tooth","","LACMP23-28228","Sylvilagus"
"377","NSF-16-118b","B2/L3","Mammalia","Lagomorpha","Leporidae","","cf. Sylvilagus","","upper tooth frag","","LACMP23-28229","Sylvilagus"
"378","NSF-16-118c","B2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv. Upper tooth","","LACMP23-28230","Sylvilagus"
"379","NSF-16-118d","B2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv. Upper tooth","","LACMP23-28231","Sylvilagus"
"380","NSF-16-118e","B2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv. Lower right tooth","","LACMP23-28232","Sylvilagus"
"381","NSF-16-118f","B2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv. Lower right tooth","","LACMP23-28233","Sylvilagus"
"382","NSF-16-118g","B2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv. Lower p3","poorly preserved","LACMP23-28234","Sylvilagus"
"383","NSF-16-118h","B2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv. Lower left tooth","","LACMP23-28235","Sylvilagus"
"384","NSF-16-118i","B2/L3","Mammalia","Lagomorpha","Leporidae","","cf. Sylvilagus","","upper tooth frag","","LACMP23-28236","Sylvilagus"
"385","NSF-16-119","B2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","Peromyscus","sp.","upper right M1","","LACMP23-28237","Peromyscus"
"386","NSF-16-120","B2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","Peromyscus","sp.","upper left M2","","LACMP23-28238","Peromyscus"
"387","NSF-16-121","B2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower right m2","","LACMP23-28239","Microtus"
"388","NSF-16-122","B2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","upper left M3","","LACMP23-28240","Microtus"
"389","NSF-16-123a","B2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","Juv. Upper right tooth","","LACMP23-28241","Sylvilagus"
"390","NSF-16-123b","B2/L3","Mammalia","Lagomorpha","Leporidae","","cf. Sylvilagus","","Juv. Upper tooth frag","","LACMP23-28242","Sylvilagus"
"391","NSF-16-124","B2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","Peromyscus","sp.","upper left M1","","LACMP23-28243","Peromyscus"
"392","NSF-16-125","B2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","cf. Peromyscus","sp.","upper right M2","acid etched?","LACMP23-28244","Peromyscus"
"393","NSF-16-126","B2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","upper left M1","","LACMP23-28245","Microtus"
"394","NSF-16-127","B2/L3","Mammalia","Rodentia","Heteromyidae","","Perognathus","sp.","upper (right?) P4","","LACMP23-28246","Perognathus"
"395","NSF-16-128a","B2/L3","Mammalia","Lagomorpha","Leporidae","","cf. Sylvilagus","","juv. Tooth frag","","LACMP23-28247","Sylvilagus"
"396","NSF-16-128b","B2/L3","Mammalia","Lagomorpha","Leporidae","","cf. Sylvilagus","","Juv. Upper tooth frag","","LACMP23-28248","Sylvilagus"
"397","NSF-16-129","B2/L3","Mammalia","Lagomorpha","Leporidae","","cf. Sylvilagus","","juv. Tooth frag","","LACMP23-28249","Sylvilagus"
"398","NSF-16-130","B2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","Peromyscus","","lower left m1","","LACMP23-28250","Peromyscus"
"399","NSF-16-131","B2/L3","Mammalia","Rodentia","Cricetidae","Neotominae","Peromyscus","","lower right m2","acid etched?","LACMP23-28251","Peromyscus"
"400","NSF-16-132","B2/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","upper left M2","","LACMP23-28252","Microtus"
"401","NSF-16-133a","B2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv. Lower right p3","occlusal surface broken","LACMP23-28253","Sylvilagus"
"402","NSF-16-133b","B2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv. Lower tooth","","LACMP23-28254","Sylvilagus"
"403","NSF-16-134","B2/L3","Mammalia","Rodentia","Cricetidae","","Peromyscus","sp.","upper right M2","","LACMP23-28255","Peromyscus"
"404","NSF-16-135","B2/L3","Mammalia","Lagomorpha","Leporidae","","","","tooth frag","","LACMP23-28256",NA
"405","NSF-16-136","B2/L3","Mammalia","Rodentia","Cricetidae","","cf. Peromyscus","","upper right M1","acid etched?","LACMP23-28257","Peromyscus"
"406","NSF-16-137","B2/L3","Mammalia","Rodentia","Cricetidae","","Peromyscus","sp.","lower right m1","","LACMP23-28258","Peromyscus"
"407","NSF-16-138","B2/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv. lower p3 (left?)","poorly preserved","LACMP23-28259","Sylvilagus"
"408","NSF-16-139","B2/L3","Mammalia","Rodentia/Lagomorpha","","","","","Misc. partial teeth, incisors, and dentary frags","","Not Cataloged",NA
"409","NSF-16-140","B2/L3","Mammalia","","","","","","baculum?","","LACMP23-28260",NA
"410","NSF-16-372","B2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","left dentary w/ m1-m3","nearly complete","LACMP23-28840","Microtus"
"411","NSF-16-373","B2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","lower right m1","broken occlusal surface","LACMP23-28841","Microtus"
"412","NSF-16-374","B2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","","lower left M1","broken posteriorly","LACMP23-28842","Microtus"
"413","NSF-16-375","B2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper right M2","","LACMP23-28843","Microtus"
"414","NSF-16-376","B2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","","tooth frag","","LACMP23-28844","Microtus"
"415","NSF-16-377","B2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","","tooth frag","","LACMP23-28845","Microtus"
"416","NSF-16-378","B2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","","tooth frag","","LACMP23-28846","Microtus"
"417","NSF-16-379","B2/L4","Mammalia","Rodentia","Cricetidae","Neotominae","Peromyscus","sp.","upper right M2","","LACMP23-28847","Peromyscus"
"418","NSF-16-380","B2/L4","Mammalia","Rodentia","Cricetidae","Neotominae","Reithrodontomys","sp.","lower left M1","","LACMP23-28848","Reithrodontomys"
"419","NSF-16-381","B2/L4","Mammalia","Rodentia","Cricetidae","Neotominae","cf. Peromyscus","sp.","lower right m3?","very worn","LACMP23-28849","Peromyscus"
"420","NSF-16-382","B2/L4","Mammalia","Rodentia","Cricetidae","cf. Neotominae","Neotoma","sp.","upper left M3","Exhibits strange isolated occlusal lophs","LACMP23-28850","Neotoma"
"421","NSF-16-383","B2/L4","Mammalia","Rodentia","Geomyidae/Heteromyidae","","","","P4/p4?","strange looking","LACMP23-28851",NA
"422","NSF-16-384","B2/L4","Mammalia","Rodentia","","","","","tooth frag","","LACMP23-28852",NA
"423","NSF-16-385","B2/L4","Mammalia","Rodentia","","","","","zygomatric arch","","LACMP23-28853",NA
"424","NSF-16-386","B2/L4","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","lower right m2","","LACMP23-28854","Otospermophilus beecheyi"
"425","NSF-16-387","B2/L4","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","lower left m3","","LACMP23-28855","Otospermophilus beecheyi"
"426","NSF-16-388","B2/L4","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","partial upper right M3","ligual side missing","LACMP23-28856","Otospermophilus beecheyi"
"427","NSF-16-389","B2/L4","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper left M1/M2","","LACMP23-28857","Otospermophilus beecheyi"
"428","NSF-16-390","B2/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","audubonii","lower right p3","","LACMP23-28858","Sylvilagus audobonii"
"429","NSF-16-391","B2/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper right tooth","","LACMP23-28859","Sylvilagus"
"430","NSF-16-392","B2/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","partial lower right tooth","","LACMP23-28860","Sylvilagus"
"431","NSF-16-393","B2/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28861","Sylvilagus"
"432","NSF-16-394","B2/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","tooth frag","","LACMP23-28862","Sylvilagus"
"433","NSF-16-395","B2/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28863","Sylvilagus"
"434","NSF-16-396","B2/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower right tooth frag","","LACMP23-28864","Sylvilagus"
"435","NSF-16-397","B2/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","tooth frag","","LACMP23-28865","Sylvilagus"
"436","NSF-16-398","B2/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv. upper left tooth","","LACMP23-28866","Sylvilagus"
"437","NSF-16-399","B2/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower m3","","LACMP23-28867","Sylvilagus"
"438","NSF-16-400","B2/L4","Mammalia","Lagomorpha","Leporidae","","cf. Sylvilagus","sp.","right maxillary frag","","LACMP23-28868","Sylvilagus"
"439","NSF-16-401","B2/L4","Mammalia","Insectivora","","","","","partial right dentary w/ molar","","LACMP23-28869",NA
"440","NSF-16-402","B2/L5","Mammalia","Rodentia","Cricetidae","Neotominae","Peromyscus","sp.","right dentary w/o teeth","","LACMP23-28870","Peromyscus"
"441","NSF-16-403","B2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","","left anterior dentary w/o teeth","","LACMP23-28871","Microtus"
"442","NSF-16-404","B2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper left M1","","LACMP23-28872","Microtus"
"443","NSF-16-405","B2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","partial upper M3/ lower m1","","LACMP23-28873","Microtus"
"444","NSF-16-406","B2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","molar frag","","LACMP23-28874","Microtus"
"445","NSF-16-407","B2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","molar frag","","LACMP23-28875","Microtus"
"446","NSF-16-408","B2/L5","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper right M1/M2","","LACMP23-28876","Otospermophilus beecheyi"
"447","NSF-16-409","B2/L5","Mammalia","Rodentia","","","","","anterior dentary frag","","LACMP23-28877",NA
"448","NSF-16-410","B2/L5","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper left tooth","","LACMP23-28878","Sylvilagus"
"449","NSF-16-411","B2/L6","Mammalia","Rodentia","Heteromyidae","","Dipodomys","sp.","juv. upper left M2","","LACMP23-28879","Dipodomys"
"450","NSF-16-412","B2/L6","Mammalia","Rodentia","Geomyidae","","cf. Thomomys","","tooth frag","","LACMP23-28880","Thomomys"
"451","NSF-16-413","B2/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper M3","","LACMP23-28881","Sylvilagus"
"452","NSF-16-414","B2/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper right P2","","LACMP23-28882","Sylvilagus"
